portal_id	gwas_source_category	legacy_phenotype_id	phenotype_name	legacy_trait_group	trait_group	trait_type	pigean_id
PORTAL:0004747	gcat_trait	gcat_trait_level_of_calcyphosin_in_blood_serum	level of calcyphosin in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004748	gcat_trait	gcat_trait_level_of_calsyntenin2_in_blood_serum	level of calsyntenin-2 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004749	gcat_trait	gcat_trait_level_of_calsyntenin3_in_blood_serum	level of calsyntenin-3 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004750	gcat_trait	gcat_trait_level_of_carbonic_anhydrase_12_in_blood_serum	level of carbonic anhydrase 12 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004751	gcat_trait	gcat_trait_level_of_carbonic_anhydrase_5A_mitochondrial_in_blood_serum	level of carbonic anhydrase 5A, mitochondrial in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004752	gcat_trait	gcat_trait_level_of_carboxylesterase_3_in_blood_serum	level of carboxylesterase 3 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004753	gcat_trait	gcat_trait_level_of_carboxypeptidase_A1_in_blood_serum	level of carboxypeptidase A1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004754	gcat_trait	gcat_trait_level_of_carboxypeptidase_B_in_blood_serum	level of carboxypeptidase B in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004755	gcat_trait	gcat_trait_level_of_carboxypeptidase_Q_in_blood_serum	level of carboxypeptidase Q in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004756	gcat_trait	gcat_trait_level_of_carcinoembryonic_antigenrelated_cell_adhesion_molecule_16_in_blood_serum	level of carcinoembryonic antigen-related cell adhesion molecule 16 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004757	gcat_trait	gcat_trait_level_of_carcinoembryonic_antigenrelated_cell_adhesion_molecule_19_in_blood_serum	level of carcinoembryonic antigen-related cell adhesion molecule 19 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004758	gcat_trait	gcat_trait_level_of_carcinoembryonic_antigenrelated_cell_adhesion_molecule_20_in_blood_serum	level of carcinoembryonic antigen-related cell adhesion molecule 20 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004759	gcat_trait	gcat_trait_level_of_cartilage_intermediate_layer_protein_1_in_blood_serum	level of cartilage intermediate layer protein 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004760	gcat_trait	gcat_trait_level_of_cartilage_oligomeric_matrix_protein_in_blood_serum	level of cartilage oligomeric matrix protein in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004761	gcat_trait	gcat_trait_level_of_casein_kinase_I_isoform_delta_in_blood_serum	level of casein kinase I isoform delta in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004762	gcat_trait	gcat_trait_level_of_cathepsin_O_in_blood_serum	level of cathepsin O in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004763	gcat_trait	gcat_trait_level_of_cell_growth_regulator_with_EF_hand_domain_protein_1_in_blood_serum	level of cell growth regulator with EF hand domain protein 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004764	gcat_trait	gcat_trait_level_of_cell_surface_glycoprotein_MUC18_in_blood_serum	level of cell surface glycoprotein MUC18 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004765	gcat_trait	gcat_trait_level_of_centrin3_in_blood_serum	level of centrin-3 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004766	gcat_trait	gcat_trait_level_of_charged_multivesicular_body_protein_6_in_blood_serum	level of charged multivesicular body protein 6 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004767	gcat_trait	gcat_trait_level_of_cholinesterase_in_blood_serum	level of cholinesterase in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004768	gcat_trait	gcat_trait_level_of_chondroadherin_in_blood_serum	level of chondroadherin in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004769	gcat_trait	gcat_trait_level_of_chondroitin_sulfate_proteoglycan_4_in_blood_serum	level of chondroitin sulfate proteoglycan 4 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004770	gcat_trait	gcat_trait_level_of_chordinlike_protein_2_in_blood_serum	level of chordin-like protein 2 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004771	gcat_trait	gcat_trait_level_of_chromatin_complexes_subunit_BAP18_human_in_blood_serum	level of chromatin complexes subunit BAP18 (human) in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004772	gcat_trait	gcat_trait_level_of_chymotrypsinC_in_blood_serum	level of chymotrypsin-C in blood serum	PROTEIN_BIOLOGY	protein_biology	stratified	
PORTAL:0004773	gcat_trait	gcat_trait_level_of_chymotrypsinlike_elastase_family_member_2A_in_blood_serum	level of chymotrypsin-like elastase family member 2A in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004774	gcat_trait	gcat_trait_level_of_chymotrypsinlike_protease_CTRL1_in_blood_serum	level of chymotrypsin-like protease CTRL-1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004775	gcat_trait	gcat_trait_level_of_chymotrypsinogen_B_in_blood_serum	level of chymotrypsinogen B in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004776	gcat_trait	gcat_trait_level_of_clusterinlike_protein_1_in_blood_serum	level of clusterin-like protein 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004777	gcat_trait	gcat_trait_level_of_cobalamin_binding_intrinsic_factor_in_blood_serum	level of cobalamin binding intrinsic factor in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004778	gcat_trait	gcat_trait_level_of_cochlin_in_blood_serum	level of cochlin in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004779	gcat_trait	gcat_trait_level_of_cold_shock_domaincontaining_protein_E1_in_blood_serum	level of cold shock domain-containing protein E1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004780	gcat_trait	gcat_trait_level_of_colipase_in_blood_serum	level of colipase in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004781	gcat_trait	gcat_trait_level_of_collagen_alpha1V_chain_in_blood_serum	level of collagen alpha-1(V) chain in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004782	gcat_trait	gcat_trait_level_of_corneodesmosin_in_blood_serum	level of corneodesmosin in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004783	gcat_trait	gcat_trait_level_of_cornulin_in_blood_serum	level of cornulin in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004784	gcat_trait	gcat_trait_level_of_cotranscriptional_regulator_FAM172A_in_blood_serum	level of cotranscriptional regulator FAM172A in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004785	gcat_trait	gcat_trait_level_of_cyclindependent_kinase_inhibitor_1_in_blood_serum	level of cyclin-dependent kinase inhibitor 1 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004786	gcat_trait	gcat_trait_level_of_cysteinerich_protein_2_in_blood_serum	level of cysteine-rich protein 2 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004787	gcat_trait	gcat_trait_level_of_cysteinerich_secretory_protein_2_in_blood_serum	level of cysteine-rich secretory protein 2 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004788	gcat_trait	gcat_trait_level_of_cytoskeletonassociated_protein_4_in_blood_serum	level of cytoskeleton-associated protein 4 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004789	gcat_trait	gcat_trait_level_of_death_domaincontaining_protein_CRADD_in_blood_serum	level of death domain-containing protein CRADD in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004790	gcat_trait	gcat_trait_level_of_deoxyuridine_5triphosphate_nucleotidohydrolase_mitochondrial_in_blood_serum	level of deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004791	gcat_trait	gcat_trait_level_of_desmoglein3_in_blood_serum	level of desmoglein-3 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004792	gcat_trait	gcat_trait_level_of_dipeptidyl_aminopeptidaselike_protein_6_in_blood_serum	level of dipeptidyl aminopeptidase-like protein 6 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004793	gcat_trait	gcat_trait_level_of_dipeptidyl_peptidase_4_in_blood_serum	level of dipeptidyl peptidase 4 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
PORTAL:0004794	gcat_trait	gcat_trait_level_of_disintegrin_and_metalloproteinase_domaincontaining_protein_22_in_blood_serum	level of disintegrin and metalloproteinase domain-containing protein 22 in blood serum	PROTEIN_BIOLOGY	protein_biology	measurement	
